Well,Target,Oligo,Gene,Virus_amount,Bio_Rep,Cq
K02,Empty,sh11,Ctu2,100 uL,2,25.29415417
K03,Scr,sh14,Ctu2,100 uL,2,24.85216196
K04,Scr,sh14,Ctu2,100 uL,2,25.55368198
K05,Scr,sh15,Ctu2,100 uL,2,26.19610675
K06,Scr,sh15,Ctu2,100 uL,2,26.06287592
K07,Ctu1,sh1,Ctu2,100 uL,2,26.74381707
K08,Ctu1,sh1,Ctu2,100 uL,2,26.41902986
K09,Ctu1,sh2,Ctu2,100 uL,2,26.44932272
K10,Ctu1,sh2,Ctu2,100 uL,2,26.50131854
L01,Ctu1,sh3,Ctu2,100 uL,2,25.42160417
L02,Ctu1,sh3,Ctu2,100 uL,2,25.60214232
L03,Ctu2,sh6,Ctu2,100 uL,2,25.90402138
L04,Ctu2,sh6,Ctu2,100 uL,2,26.16665754
L05,Ctu2,sh7,Ctu2,100 uL,2,26.46550249
L06,Ctu2,sh7,Ctu2,100 uL,2,26.2367008
L07,Ctu2,sh8,Ctu2,100 uL,2,27.17022774
L08,Ctu2,sh8,Ctu2,100 uL,2,27.70253983
L09,Ctu2,sh17,Ctu2,100 uL,2,27.02398616
L10,Ctu2,sh17,Ctu2,100 uL,2,27.82694319
M01,Empty,sh11,Ctu2,30 uL,1,26.27841331
M02,Empty,sh11,Ctu2,30 uL,1,25.86880837
M03,Scr,sh14,Ctu2,30 uL,1,26.01137527
M04,Scr,sh14,Ctu2,30 uL,1,26.0072266
M05,Scr,sh15,Ctu2,30 uL,1,26.0819231
M06,Scr,sh15,Ctu2,30 uL,1,26.06928903
M07,Ctu1,sh1,Ctu2,30 uL,1,26.15267823
M08,Ctu1,sh1,Ctu2,30 uL,1,26.14980434
M09,Ctu1,sh2,Ctu2,30 uL,1,26.2790085
M10,Ctu1,sh2,Ctu2,30 uL,1,26.21051967
N01,Ctu1,sh3,Ctu2,30 uL,1,25.58672984
N02,Ctu1,sh3,Ctu2,30 uL,1,25.80922756
N03,Ctu2,sh6,Ctu2,30 uL,1,27.1293379
N04,Ctu2,sh6,Ctu2,30 uL,1,27.12298822
N05,Ctu2,sh7,Ctu2,30 uL,1,27.10066235
N06,Ctu2,sh7,Ctu2,30 uL,1,27.2506745
N07,Ctu2,sh8,Ctu2,30 uL,1,27.66503227
N08,Ctu2,sh8,Ctu2,30 uL,1,27.7298225
N09,Ctu2,sh17,Ctu2,30 uL,1,28.19959793
N10,Ctu2,sh17,Ctu2,30 uL,1,28.10902172
O01,Empty,sh11,Ctu2,30 uL,2,26.13028855
O02,Empty,sh11,Ctu2,30 uL,2,25.94953347
O03,Scr,sh14,Ctu2,30 uL,2,26.15244478
O04,Scr,sh14,Ctu2,30 uL,2,26.02580408
O05,Scr,sh15,Ctu2,30 uL,2,26.08057348
O06,Scr,sh15,Ctu2,30 uL,2,26.27301745
O07,Ctu1,sh1,Ctu2,30 uL,2,26.40700224
O08,Ctu1,sh1,Ctu2,30 uL,2,26.32210656
O09,Ctu1,sh2,Ctu2,30 uL,2,26.08046393
O10,Ctu1,sh2,Ctu2,30 uL,2,25.99621264
P01,Ctu1,sh3,Ctu2,30 uL,2,26.45779253
P02,Ctu1,sh3,Ctu2,30 uL,2,26.01412592
P03,Ctu2,sh6,Ctu2,30 uL,2,27.77297843
P04,Ctu2,sh6,Ctu2,30 uL,2,27.03202455
P05,Ctu2,sh7,Ctu2,30 uL,2,26.57830331
P06,Ctu2,sh7,Ctu2,30 uL,2,27.18065353
P07,Ctu2,sh8,Ctu2,30 uL,2,28.30850863
P08,Ctu2,sh8,Ctu2,30 uL,2,28.47151661
P09,Ctu2,sh17,Ctu2,30 uL,2,28.18328456
P10,Ctu2,sh17,Ctu2,30 uL,2,28.36942406
A11,Empty,sh11,Gapdh,100 uL,1,17.17834828
