,1,2,3,4,5,6,7,8,9,10,11,12
A,0.069,0.243,0.068,0.056,0.057,0.058,0.058,0.054,0.053,0.452,0.422,0.038
B,0.726,0.09,0.574,0.158,0.062,0.136,0.099,0.064,0.108,0.323,0.28,0.039
C,0.705,0.191,0.705,0.154,0.058,0.14,0.116,0.059,0.102,0.202,0.208,0.043
D,1.496,0.268,1.224,0.365,0.087,0.371,0.221,0.071,0.22,0.129,0.127,0.038
E,1.62,0.209,1.348,0.456,0.077,0.346,0.246,0.067,0.224,0.092,0.1,0.056
F,1.956,0.637,1.671,0.659,0.111,0.654,0.38,0.084,0.419,0.074,0.083,0.046
G,1.847,0.542,1.533,0.641,0.133,0.072,0.375,0.096,0.056,0.068,0.07,0.044
H,0.039,0.037,0.038,0.037,0.041,0.049,0.036,0.041,0.038,0.037,0.037,0.044
