,Well,Fluor,Target,Content,Sample,Cq,SQ
,F03,SYBR,,Unkn,,22.8627852639829,NaN
,F04,SYBR,,Unkn,,22.87052008057,NaN
,F05,SYBR,,Unkn,,22.1063738573949,NaN
,F06,SYBR,,Unkn,,22.1287065539866,NaN
,F07,SYBR,,Unkn,,22.70223597915,NaN
,F08,SYBR,,Unkn,,23.0071522995365,NaN
,F09,SYBR,,Unkn,,26.0724836183007,NaN
,F10,SYBR,,Unkn,,26.1260736676885,NaN
,F11,SYBR,,Unkn,,22.2624445422645,NaN
,F12,SYBR,,Unkn,,22.4336996884208,NaN
,F13,SYBR,,Unkn,,NaN,NaN
,F14,SYBR,,Unkn,,NaN,NaN
,F15,SYBR,,Unkn,,NaN,NaN
,F16,SYBR,,Unkn,,NaN,NaN
,F17,SYBR,,Unkn,,NaN,NaN
,F18,SYBR,,Unkn,,NaN,NaN
,F19,SYBR,,Unkn,,NaN,NaN
,F20,SYBR,,Unkn,,NaN,NaN
,F21,SYBR,,Unkn,,NaN,NaN
,F22,SYBR,,Unkn,,NaN,NaN
,F23,SYBR,,Unkn,,NaN,NaN
,F24,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,26.8741042032493,NaN
,G02,SYBR,,Unkn,,26.8320114154277,NaN
,G03,SYBR,,Unkn,,28.0612183016398,NaN
,G04,SYBR,,Unkn,,28.4002652446225,NaN
,G05,SYBR,,Unkn,,27.8051782084993,NaN
,G06,SYBR,,Unkn,,27.4530816861264,NaN
,G07,SYBR,,Unkn,,27.7801333795302,NaN
,G08,SYBR,,Unkn,,27.1574150636866,NaN
,G09,SYBR,,Unkn,,28.355063705821,NaN
,G10,SYBR,,Unkn,,28.3769285719012,NaN
,G11,SYBR,,Unkn,,27.3016372389652,NaN
,G12,SYBR,,Unkn,,27.0914730530638,NaN
,G13,SYBR,,Unkn,,NaN,NaN
,G14,SYBR,,Unkn,,NaN,NaN
,G15,SYBR,,Unkn,,NaN,NaN
,G16,SYBR,,Unkn,,NaN,NaN
,G17,SYBR,,Unkn,,NaN,NaN
,G18,SYBR,,Unkn,,NaN,NaN
,G19,SYBR,,Unkn,,NaN,NaN
,G20,SYBR,,Unkn,,NaN,NaN
,G21,SYBR,,Unkn,,NaN,NaN
,G22,SYBR,,Unkn,,NaN,NaN
,G23,SYBR,,Unkn,,NaN,NaN
,G24,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,27.6672867493746,NaN
,H02,SYBR,,Unkn,,27.4235666407756,NaN
,H03,SYBR,,Unkn,,28.0248006415541,NaN
,H04,SYBR,,Unkn,,27.8599314273801,NaN
,H05,SYBR,,Unkn,,27.2591806650464,NaN
,H06,SYBR,,Unkn,,27.2565746075764,NaN
,H07,SYBR,,Unkn,,25.6928787176746,NaN
,H08,SYBR,,Unkn,,25.5127134112528,NaN
,H09,SYBR,,Unkn,,27.8933177067681,NaN
,H10,SYBR,,Unkn,,27.7059299705564,NaN
,H11,SYBR,,Unkn,,26.3743704413743,NaN
,H12,SYBR,,Unkn,,26.3741116632381,NaN
,H13,SYBR,,Unkn,,NaN,NaN
,H14,SYBR,,Unkn,,NaN,NaN
,H15,SYBR,,Unkn,,NaN,NaN
,H16,SYBR,,Unkn,,NaN,NaN
,H17,SYBR,,Unkn,,NaN,NaN
,H18,SYBR,,Unkn,,NaN,NaN
,H19,SYBR,,Unkn,,NaN,NaN
,H20,SYBR,,Unkn,,NaN,NaN
,H21,SYBR,,Unkn,,NaN,NaN
,H22,SYBR,,Unkn,,NaN,NaN
,H23,SYBR,,Unkn,,NaN,NaN
,H24,SYBR,,Unkn,,NaN,NaN
,I01,SYBR,,Unkn,,26.3636281832891,NaN
,I02,SYBR,,Unkn,,34.1954257064927,NaN
,I03,SYBR,,Unkn,,28.6381855099459,NaN
,I04,SYBR,,Unkn,,32.897862523806,NaN
,I05,SYBR,,Unkn,,26.4739907240208,NaN
,I06,SYBR,,Unkn,,NaN,NaN
,I07,SYBR,,Unkn,,24.0048948743528,NaN
,I08,SYBR,,Unkn,,NaN,NaN
,I09,SYBR,,Unkn,,28.1447879585251,NaN
,I10,SYBR,,Unkn,,37.1968196222903,NaN
,I11,SYBR,,Unkn,,23.256177379828,NaN
,I12,SYBR,,Unkn,,35.5143846255972,NaN
,I13,SYBR,,Unkn,,NaN,NaN
,I14,SYBR,,Unkn,,NaN,NaN
,I15,SYBR,,Unkn,,NaN,NaN
,I16,SYBR,,Unkn,,NaN,NaN
,I17,SYBR,,Unkn,,NaN,NaN
,I18,SYBR,,Unkn,,NaN,NaN
