"","Bio_Rep","Target_oligo","Target","Oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"54","3","Ctu2_sh17","Ctu2","sh17","Ctu2","26.33607","26.58361","26.45984","1.083412e-08","17.67092"," 8.788919","0.0022608506","4.792055e-06","25.89191","0.52851369","1.606045e-08"," 8.411838","0.0010224656","0.0029361916","17.48007","0.1206097","5.469825e-06","shRNA"
"55","3","Ctu2_sh6","Ctu2","sh6","Ctu2","26.22955","26.22590","26.22772","1.272534e-08","17.28165"," 8.946068","0.0020275203","6.276308e-06","25.03990","0.72990984","2.898940e-08"," 8.596347","0.0003818583","0.0025836981","16.44355","0.5132513","1.122012e-05","shRNA"
"56","3","Ctu2_sh8","Ctu2","sh8","Ctu2","26.46755","26.46193","26.46474","1.079742e-08","17.36252"," 9.102223","0.0018195247","5.934196e-06","25.03655","0.89665390","2.905671e-08"," 8.563487","0.0007121416","0.0026432213","16.47307","0.5447928","1.099292e-05","shRNA"
"57","3","Empty_sh11","Empty","sh11","Ctu2","24.85837","24.62293","24.74065","3.567159e-08","16.25943"," 8.481220","0.0027983267","1.274747e-05","24.33245","0.38181034","4.733712e-08"," 7.795052","0.0014911574","0.0045025188","16.53740","0.5254306","1.051347e-05","shRNA"
"58","3","Myd88_sh21","Myd88","sh21","Ctu2","26.38496","26.25589","26.32043","1.193335e-08","18.61522"," 7.705202","0.0047918483","2.490343e-06","26.08951","0.18119792","1.400473e-08"," 7.730797","0.0002913817","0.0047075851","18.35871","0.2560776","2.974928e-06","shRNA"
"59","3","Scr_sh14","Scr","sh14","Ctu2","24.15744","24.21356","24.18550","5.241307e-08","15.84339"," 8.342108","0.0030815924","1.700844e-05","24.21540","0.23062483","5.133779e-08"," 8.362097","0.0001684708","0.0030391916","15.85331","0.3097069","1.689192e-05","shRNA"
"60","3","Scr_sh15","Scr","sh15","Ctu2","24.52785","24.54662","24.53723","4.107303e-08","16.39120"," 8.146032","0.0035302066","1.163474e-05","24.17406","0.22350867","5.283038e-08"," 8.149796","0.0002519843","0.0035210064","16.02426","0.2573495","1.500434e-05","shRNA"
"61","1","Empty_sh11","Empty","sh11","Myd88","21.82615","21.53305","21.67960","2.977072e-07","15.97339"," 5.706212","0.0191539793","1.554284e-05","22.14317","0.38257053","2.158939e-07"," 5.605773","0.0022673248","0.0205349753","16.53740","0.5254306","1.051347e-05","shRNA"
"62","1","Myd88_sh21","Myd88","sh21","Myd88","24.03761","24.18406","24.11083","5.519702e-08","18.51647"," 5.594363","0.0206980279","2.666777e-06","24.08301","0.12119081","5.627172e-08"," 5.724301","0.0017901674","0.0189153206","18.35871","0.2560776","2.974928e-06","shRNA"
"63","1","Scr_sh14","Scr","sh14","Myd88","21.64894","21.73126","21.69010","2.955488e-07","15.42036"," 6.269742","0.0129604328","2.280393e-05","21.99195","0.19423250","2.397519e-07"," 6.138647","0.0013099430","0.0141932871","15.85331","0.3097069","1.689192e-05","shRNA"
"64","1","Scr_sh15","Scr","sh15","Myd88","22.03365","22.03263","22.03314","2.330048e-07","16.01820"," 6.014941","0.0154640230","1.506754e-05","22.04664","0.04910233","2.308335e-07"," 6.022384","0.0022392509","0.0153844480","16.02426","0.2573495","1.500434e-05","shRNA"
"65","2","Empty_sh11","Empty","sh11","Myd88","22.79314","22.68217","22.73765","1.429830e-07","17.37938"," 5.358270","0.0243781019","5.865223e-06","22.14317","0.38257053","2.158939e-07"," 5.605773","0.0022673248","0.0205349753","16.53740","0.5254306","1.051347e-05","shRNA"
"66","2","Myd88_sh21","Myd88","sh21","Myd88","23.92851","23.87032","23.89942","6.390850e-08","17.94445"," 5.954971","0.0161203711","3.964456e-06","24.08301","0.12119081","5.627172e-08"," 5.724301","0.0017901674","0.0189153206","18.35871","0.2560776","2.974928e-06","shRNA"
"67","2","Scr_sh14","Scr","sh14","Myd88","22.27871","22.17576","22.22724","2.036739e-07","16.29617"," 5.931062","0.0163897504","1.242691e-05","21.99195","0.19423250","2.397519e-07"," 6.138647","0.0013099430","0.0141932871","15.85331","0.3097069","1.689192e-05","shRNA"
"68","2","Scr_sh15","Scr","sh15","Myd88","22.01305","21.95685","21.98495","2.409190e-07","15.66338"," 6.321565","0.0125031427","1.926867e-05","22.04664","0.04910233","2.308335e-07"," 6.022384","0.0022392509","0.0153844480","16.02426","0.2573495","1.500434e-05","shRNA"
"69","3","Empty_sh11","Empty","sh11","Myd88","22.02981","21.99472","22.01227","2.364001e-07","16.25943"," 5.752836","0.0185448641","1.274747e-05","22.14317","0.38257053","2.158939e-07"," 5.605773","0.0022673248","0.0205349753","16.53740","0.5254306","1.051347e-05","shRNA"
"70","3","Myd88_sh21","Myd88","sh21","Myd88","24.24495","24.23264","24.23879","5.051221e-08","18.61522"," 5.623569","0.0202832300","2.490343e-06","24.08301","0.12119081","5.627172e-08"," 5.724301","0.0017901674","0.0189153206","18.35871","0.2560776","2.974928e-06","shRNA"
"71","3","Scr_sh14","Scr","sh14","Myd88","22.02095","22.09611","22.05853","2.289399e-07","15.84339"," 6.215138","0.0134603736","1.700844e-05","21.99195","0.19423250","2.397519e-07"," 6.138647","0.0013099430","0.0141932871","15.85331","0.3097069","1.689192e-05","shRNA"
"72","3","Scr_sh15","Scr","sh15","Myd88","22.14295","22.10075","22.12185","2.191092e-07","16.39120"," 5.730645","0.0188323311","1.163474e-05","22.04664","0.04910233","2.308335e-07"," 6.022384","0.0022392509","0.0153844480","16.02426","0.2573495","1.500434e-05","shRNA"
