Well,Gene,Target,Oligo,Bio_Rep,Cq,,,,,,,
F20,Gapdh,Ctu2,g4,2,21.15,,,,,,,
F21,Gapdh,Myd88,g1,1,19.95,,,,,,,
F22,Gapdh,Myd88,g1,1,19.74,,,,,,,
F23,Gapdh,Myd88,g1,2,22.18,,,,,,,
F24,Gapdh,Myd88,g1,2,22.66,,,,,,,
G01,Ctu1,Ctu1,g2,1,28.92,,,,,,,
G02,Ctu1,Ctu1,g2,1,28.80,,,,,,,
G03,Ctu1,Ctu1,g2,2,28.76,,,,,,,
G04,Ctu1,Ctu1,g2,2,29.49,,,,,,,
G05,Ctu1,Ctu2,g3,1,28.91,,,,,,,
G06,Ctu1,Ctu2,g3,1,28.48,,,,,,,
G07,Ctu1,Ctu2,g3,2,29.79,,,,,,,
G08,Ctu1,Ctu2,g3,2,29.87,,,,,,,
G09,Ctu1,Scr,g2,1,29.81,,,,,,,
G10,Ctu1,Scr,g2,1,26.29,,,,,,,
G11,Ctu1,Scr,g2,2,29.62,,,,,,,
G12,Ctu1,Scr,g2,2,29.12,,,,,,,
G13,Gapdh,Ctu1,g2,1,26.58,,,,,,,
G14,Gapdh,Ctu1,g2,1,26.62,,,,,,,
G15,Gapdh,Ctu1,g2,2,26.09,,,,,,,
G16,Gapdh,Ctu1,g2,2,25.83,,,,,,,
G17,Gapdh,Ctu2,g3,1,27.78,,,,,,,
G18,Gapdh,Ctu2,g3,1,27.26,,,,,,,
G19,Gapdh,Ctu2,g3,2,26.31,,,,,,,
G20,Gapdh,Ctu2,g3,2,26.56,,,,,,,
G21,Gapdh,Scr,g2,1,27.30,,,,,,,
G22,Gapdh,Scr,g2,1,27.26,,,,,,,
G23,Gapdh,Scr,g2,2,27.52,,,,,,,
G24,Gapdh,Scr,g2,2,26.82,,,,,,,
H01,Ctu1,Ctu1,g1,1,27.54,,,,,,,
H02,Ctu1,Ctu1,g1,1,28.66,,,,,,,
H03,Ctu1,Ctu1,g1,2,29.44,,,,,,,
H04,Ctu1,Ctu1,g1,2,28.47,,,,,,,
H05,Ctu1,Ctu2,g1,1,29.21,,,,,,,
H06,Ctu1,Ctu2,g1,1,28.72,,,,,,,
H07,Ctu1,Ctu2,g1,2,29.76,,,,,,,
H08,Ctu1,Ctu2,g1,2,29.05,,,,,,,
H09,Ctu1,Scr,g1,1,29.12,,,,,,,
H10,Ctu1,Scr,g1,1,27.47,,,,,,,
H11,Ctu1,Scr,g1,2,26.08,,,,,,,
H12,Ctu1,Scr,g1,2,25.34,,,,,,,
H13,Gapdh,Ctu1,g1,1,27.03,,,,,,,
H14,Gapdh,Ctu1,g1,1,27.62,,,,,,,
H15,Gapdh,Ctu1,g1,2,26.80,,,,,,,
H16,Gapdh,Ctu1,g1,2,27.01,,,,,,,
H17,Gapdh,Ctu2,g1,1,25.57,,,,,,,
H18,Gapdh,Ctu2,g1,1,25.58,,,,,,,
H19,Gapdh,Ctu2,g1,2,26.99,,,,,,,
H20,Gapdh,Ctu2,g1,2,26.19,,,,,,,
H21,Gapdh,Scr,g1,1,27.50,,,,,,,
H22,Gapdh,Scr,g1,1,27.72,,,,,,,
H23,Gapdh,Scr,g1,2,26.93,,,,,,,
H24,Gapdh,Scr,g1,2,26.82,,,,,,,
I01,Ctu2,Ctu1,sh4,1,24.91,,,,,,,
I02,Ctu2,Ctu1,sh4,1,24.72,,,,,,,
I03,Ctu2,Ctu1,sh4,2,25.72,,,,,,,
I04,Ctu2,Ctu1,sh4,2,25.69,,,,,,,
I05,Ctu2,Ctu2,sh4,1,25.74,,,,,,,
I06,Ctu2,Ctu2,sh4,1,25.77,,,,,,,
I07,Ctu2,Ctu2,sh4,2,26.62,,,,,,,
I08,Ctu2,Ctu2,sh4,2,26.13,,,,,,,
I09,Ctu2,None,,1,28.34,,,,,,,
I10,Ctu2,None,,1,33.34,,,,,,,
J01,Ctu2,Ctu1,sh3,1,25.96,,,,,,,
J02,Ctu2,Ctu1,sh3,1,25.72,,,,,,,
J03,Ctu2,Ctu1,sh3,2,26.13,,,,,,,
J04,Ctu2,Ctu1,sh3,2,25.86,,,,,,,
J05,Ctu2,Ctu2,sh3,1,26.74,,,,,,,
J06,Ctu2,Ctu2,sh3,1,27.25,,,,,,,
J07,Ctu2,Ctu2,sh3,2,26.30,,,,,,,
J08,Ctu2,Ctu2,sh3,2,26.65,,,,,,,
J09,Ctu2,Scr,sh3,1,33.11,,,,,,,
J10,Ctu2,Scr,sh3,1,29.46,,,,,,,
J11,Ctu2,Scr,sh3,2,28.90,,,,,,,
J12,Ctu2,Scr,sh3,2,37.02,,,,,,,
K01,Ctu2,Ctu1,sh2,1,25.84,,,,,,,
K02,Ctu2,Ctu1,sh2,1,25.78,,,,,,,
K03,Ctu2,Ctu1,sh2,2,26.15,,,,,,,
K04,Ctu2,Ctu1,sh2,2,26.48,,,,,,,
K05,Ctu2,Ctu2,sh2,1,25.96,,,,,,,
K06,Ctu2,Ctu2,sh2,1,26.51,,,,,,,
K07,Ctu2,Ctu2,sh2,2,26.75,,,,,,,
K08,Ctu2,Ctu2,sh2,2,26.48,,,,,,,
K09,Ctu2,Scr,sh2,1,33.29,,,,,,,
K10,Ctu2,Scr,sh2,1,30.47,,,,,,,
K11,Ctu2,Scr,sh2,2,29.51,,,,,,,
K12,Ctu2,Scr,sh2,2,29.55,,,,,,,
L01,Ctu2,Ctu1,sh1,1,26.30,,,,,,,
L02,Ctu2,Ctu1,sh1,1,26.21,,,,,,,
L03,Ctu2,Ctu1,sh1,2,27.46,,,,,,,
L04,Ctu2,Ctu1,sh1,2,27.53,,,,,,,
L05,Ctu2,Ctu2,sh1,1,26.25,,,,,,,
L06,Ctu2,Ctu2,sh1,1,26.32,,,,,,,
L07,Ctu2,Ctu2,sh1,2,27.37,,,,,,,
L08,Ctu2,Ctu2,sh1,2,26.84,,,,,,,
L09,Ctu2,Empty,sh1,1,25.67,,,,,,,
L10,Ctu2,Empty,sh1,1,25.85,,,,,,,
L11,Ctu2,Empty,sh1,2,26.89,,,,,,,
L12,Ctu2,Empty,sh1,2,26.63,,,,,,,
M01,Ctu2,Ctu1,g5,1,26.46,,,,,,,
M02,Ctu2,Ctu1,g5,1,26.21,,,,,,,
M03,Ctu2,Ctu1,g5,2,26.50,,,,,,,
M04,Ctu2,Ctu1,g5,2,25.90,,,,,,,
M05,Ctu2,Ctu2,g5,1,25.62,,,,,,,
M06,Ctu2,Ctu2,g5,1,25.84,,,,,,,
M07,Ctu2,Ctu2,g5,2,26.02,,,,,,,
M08,Ctu2,Ctu2,g5,2,25.67,,,,,,,
M09,Ctu2,None,,3,29.51,,,,,,,
M10,Ctu2,None,,3,24.75,,,,,,,
M11,Ctu2,None,,4,25.80,,,,,,,
M12,Ctu2,None,,4,26.93,,,,,,,
N01,Ctu2,Ctu1,g4,1,26.99,,,,,,,
N02,Ctu2,Ctu1,g4,1,26.13,,,,,,,
N03,Ctu2,Ctu1,g4,2,25.69,,,,,,,
N04,Ctu2,Ctu1,g4,2,26.69,,,,,,,
N05,Ctu2,Ctu2,g4,1,26.23,,,,,,,
N06,Ctu2,Ctu2,g4,1,26.43,,,,,,,
N07,Ctu2,Ctu2,g4,2,26.75,,,,,,,
N08,Ctu2,Ctu2,g4,2,26.16,,,,,,,
N09,Ctu2,Myd88,g1,1,26.30,,,,,,,
N10,Ctu2,Myd88,g1,1,26.10,,,,,,,
N11,Ctu2,Myd88,g1,2,27.50,,,,,,,
N12,Ctu2,Myd88,g1,2,27.65,,,,,,,
N15,Std_Ctu2,0.5,,,25.82,,,,,,,Ctu2 std curve looks ok… Ctu1 is questionable…
N16,Std_Ctu1,0.5,,,27.62,,,,,,,
N17,Std_Ctu2,0.25,,,26.76,,,,,,,
N18,Std_Ctu1,0.25,,,27.63,,,,,,,
N19,Std_Ctu2,0.1667,,,27.46,,,,,,,
N20,Std_Ctu1,0.16667,,,24.84,,,,,,,
N21,Std_Ctu2,0.0833,,,27.70,,,,,,,
N22,Std_Ctu1,0.0833,,,24.36,,,,,,,
N23,Std_Ctu2,0.04165,,,29.31,,,,,,,
N24,Std_Ctu1,0.04165,,,26.08,,,,,,,
O01,Ctu2,Ctu1,g2,1,28.81,,,,,,,
O02,Ctu2,Ctu1,g2,1,30.84,,,,,,,
O03,Ctu2,Ctu1,g2,2,29.44,,,,,,,
O04,Ctu2,Ctu1,g2,2,29.14,,,,,,,
O05,Ctu2,Ctu2,g3,1,31.21,,,,,,,
O06,Ctu2,Ctu2,g3,1,34.65,,,,,,,
O07,Ctu2,Ctu2,g3,2,31.29,,,,,,,
O08,Ctu2,Ctu2,g3,2,29.03,,,,,,,
O09,Ctu2,Scr,g2,1,31.97,,,,,,,
O10,Ctu2,Scr,g2,1,34.71,,,,,,,
O11,Ctu2,Scr,g2,2,29.55,,,,,,,
O12,Ctu2,Scr,g2,2,28.86,,,,,,,
P01,Ctu2,Ctu1,g1,1,28.38,,,,,,,
P02,Ctu2,Ctu1,g1,1,25.54,,,,,,,
P03,Ctu2,Ctu1,g1,2,29.34,,,,,,,
P04,Ctu2,Ctu1,g1,2,30.93,,,,,,,
P05,Ctu2,Ctu2,g1,1,29.83,,,,,,,
P06,Ctu2,Ctu2,g1,1,29.66,,,,,,,
P07,Ctu2,Ctu2,g1,2,31.81,,,,,,,
P08,Ctu2,Ctu2,g1,2,31.88,,,,,,,
P09,Ctu2,Scr,g1,1,30.36,,,,,,,
P10,Ctu2,Scr,g1,1,30.70,,,,,,,
P11,Ctu2,Scr,g1,2,32.97,,,,,,,
P12,Ctu2,Scr,g1,2,32.43,,,,,,,
