,Oligo,Target,gene,Bio_Rep,Target_oligo,Tech_Rep_1,Tech_Rep_2,Avg_Cq,,,
57,g3,Scr,Ctu2,1,Scr_g3,27.26170516,27.44624685,27.35398,5.8295E-09,,
58,g1,Myd88,Ctu2,1,Myd88_g1,27.47587894,28.01190202,27.74389,4.44894E-09,,
59,,None,Ctu2,1,None,"c(33.39897615,Ê34.16548783)","c(35.061815,Ê32.48478551)",33.77777,6.79013E-11,,
60,sh1,Scr,Ctu2,1,Scr_sh1,27.88751875,27.59980274,27.74366,4.44965E-09,,
61,sh2,Scr,Ctu2,1,Scr_sh2,35.15155702,32.69824457,33.9249,6.13179E-11,,
62,sh3,Scr,Ctu2,1,Scr_sh3,34.85930374,29.76524824,32.31228,1.87514E-10,,
63,g1,Scr,Ctu2,2,Scr_g1,29.29897878,29.16674079,29.23286,1.58501E-09,,
64,g2,Scr,Ctu2,2,Scr_g2,27.71771602,28.42556063,28.07164,3.54482E-09,,
65,g3,Scr,Ctu2,2,Scr_g3,27.22944165,26.87262997,27.05104,7.1916E-09,,
66,g1,Myd88,Ctu2,2,Myd88_g1,27.62231037,28.49241274,28.05736,3.58008E-09,,
67,,None,Ctu2,2,None,"c(32.23936123,Ê32.33495143)","c(32.83839263,Ê34.86799479)",33.07018,1.10888E-10,,
68,sh1,Scr,Ctu2,2,Scr_sh1,28.02904848,28.25810587,28.14358,3.37239E-09,,
69,sh2,Scr,Ctu2,2,Scr_sh2,29.04542597,30.7452041,29.89532,1.00141E-09,,
70,sh3,Scr,Ctu2,2,Scr_sh3,34.56096518,34.47376473,34.51736,4.06667E-11,,
71,g1,Ctu1,Gapdh,1,Ctu1_g1,19.78782833,20.16266033,19.97524,9.70183E-07,,9.70183E-07
72,g2,Ctu1,Gapdh,1,Ctu1_g2,19.79578145,19.98579675,19.89079,1.02867E-06,,1.02867E-06
73,g3,Ctu1,Gapdh,1,Ctu1_g3,19.38824673,19.57266046,19.48045,1.3671E-06,,1.3671E-06
74,g4,Ctu1,Gapdh,1,Ctu1_g4,19.83231047,19.95731485,19.89481,1.02581E-06,,1.02581E-06
75,g5,Ctu1,Gapdh,1,Ctu1_g5,19.55947237,19.62991461,19.59469,1.26302E-06,,1.26302E-06
76,sh1,Ctu1,Gapdh,1,Ctu1_sh1,21.29293608,21.20358734,21.24826,4.01455E-07,,4.01455E-07
77,sh2,Ctu1,Gapdh,1,Ctu1_sh2,20.60524209,20.64425055,20.62475,6.18488E-07,,6.18488E-07
78,sh3,Ctu1,Gapdh,1,Ctu1_sh3,21.57446307,21.53078369,21.55262,3.25098E-07,,3.25098E-07
79,sh4,Ctu1,Gapdh,1,Ctu1_sh4,19.93571096,19.89983756,19.91777,1.00961E-06,,1.00961E-06
80,g1,Ctu1,Gapdh,2,Ctu1_g1,20.08548801,20.16679848,20.12614,8.73832E-07,,8.73832E-07
81,g2,Ctu1,Gapdh,2,Ctu1_g2,20.00053103,19.83481174,19.91767,1.00968E-06,,1.00968E-06
82,g3,Ctu1,Gapdh,2,Ctu1_g3,19.43785298,19.57181823,19.50484,1.34418E-06,,1.34418E-06
83,g4,Ctu1,Gapdh,2,Ctu1_g4,19.73864179,19.88985577,19.81425,1.08472E-06,,1.08472E-06
84,g5,Ctu1,Gapdh,2,Ctu1_g5,19.19016445,19.78336686,19.48677,1.36112E-06,,1.36112E-06
85,sh1,Ctu1,Gapdh,2,Ctu1_sh1,20.59415388,20.89967016,20.74691,5.68274E-07,,5.68274E-07
86,sh2,Ctu1,Gapdh,2,Ctu1_sh2,20.2348143,20.38014055,20.30748,7.70618E-07,,7.70618E-07
87,sh3,Ctu1,Gapdh,2,Ctu1_sh3,21.24579758,21.19155622,21.21868,4.09771E-07,,4.09771E-07
