"","Bio_Rep","Target_oligo","Target","Oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh"
"23","2","Trmt6_sg18","Trmt6","sg18","Trmt6","24.51701","24.41865","24.46783","4.309733e-08","16.97773"," 7.490095","0.0055623310","7.748070e-06","24.59970","0.13187260","3.933261e-08"," 7.489186","3.506041e-06","0.0055658359","17.11051","0.13278138","7.066793e-06"
"24","2","Trmt6_sg19","Trmt6","sg19","Trmt6","25.34712","25.47686","25.41199","2.239898e-08","16.98308"," 8.428914","0.0029016443","7.719411e-06","25.68418","0.27218461","1.854781e-08"," 8.636266","3.624549e-04","0.0025131870","17.04791","0.06483197","7.380194e-06"
"25","2","Trmt6_sh25","Trmt6","sh25","Trmt6","24.82913","24.88128","24.85521","3.294858e-08","16.65809"," 8.197123","0.0034073770","9.669778e-06","25.02883","0.17361934","2.921272e-08"," 8.255570","1.325975e-04","0.0032720939","16.77326","0.11517192","8.927838e-06"
"26","1","Empty_sh11","Empty","sh11","Trmt61a","26.57917","26.50452","26.54184","1.023549e-08","16.96822"," 9.573624","0.0013123566","7.799322e-06","26.54184",NA,"1.023549e-08"," 9.573624",NA,"0.0013123566","16.96822",NA,"7.799322e-06"
"27","1","Scr_sh14","Scr","sh14","Trmt61a","26.43765","26.49024","26.46394","1.080337e-08","16.66578"," 9.798160","0.0011232076","9.618317e-06","26.46394",NA,"1.080337e-08"," 9.798160",NA,"0.0011232076","16.66578",NA,"9.618317e-06"
"28","1","Scr_sh15","Scr","sh15","Trmt61a","26.56225","26.43902","26.50063","1.053209e-08","16.97735"," 9.523279","0.0013589617","7.750103e-06","26.50063",NA,"1.053209e-08"," 9.523279",NA,"0.0013589617","16.97735",NA,"7.750103e-06"
"29","1","Trmt61a_sg20","Trmt61a","sg20","Trmt61a","25.89620","26.08609","25.99114","1.499290e-08","17.10299"," 8.888152","0.0021105696","7.103724e-06","25.91250","0.07864477","1.583289e-08"," 8.845201","6.474240e-05","0.0021743483","17.06730","0.03569409","7.281672e-06"
"30","1","Trmt61a_sh28","Trmt61a","sh28","Trmt61a","27.88204","27.82600","27.85402","4.121954e-09","16.87088","10.983144","0.0004940196","8.343706e-06","27.80879","0.04523887","4.253255e-09","11.094404","3.530573e-05","0.0004573532","16.71438","0.15649851","9.299717e-06"
"31","2","Trmt61a_sg20","Trmt61a","sg20","Trmt61a","25.84472","25.82300","25.83386","1.671994e-08","17.03160"," 8.802251","0.0022400544","7.464076e-06","25.91250","0.07864477","1.583289e-08"," 8.845201","6.474240e-05","0.0021743483","17.06730","0.03569409","7.281672e-06"
"32","2","Trmt61a_sh28","Trmt61a","sh28","Trmt61a","27.60175","27.92535","27.76355","4.388738e-09","16.55788","11.205663","0.0004234081","1.036527e-05","27.80879","0.04523887","4.253255e-09","11.094404","3.530573e-05","0.0004573532","16.71438","0.15649851","9.299717e-06"
