Well,Target,Oligo ,Gene,Bio_Rep,Cq
I04,Scr,sh14,Gapdh,2,17.47253979
I05,Scr,sh15,Gapdh,2,17.60529629
I06,Scr,sh15,Gapdh,2,17.68124328
I07,Ctu1,sh1,Gapdh,2,18.32216652
I08,Ctu1,sh1,Gapdh,2,18.42857809
I09,Ctu1,sh2,Gapdh,2,17.14327037
I10,Ctu1,sh2,Gapdh,2,17.30064008
I11,Ctu1,sh3,Gapdh,2,17.20567974
I12,Ctu1,sh3,Gapdh,2,17.34590802
I13,Ctu2,sh6,Gapdh,2,17.9282163
I14,Ctu2,sh6,Gapdh,2,17.91339034
I15,Ctu2,sh8,Gapdh,2,17.25092425
I16,Ctu2,sh8,Gapdh,2,17.28536234
I17,Ctu2,sh17,Gapdh,2,18.35622023
I18,Ctu2,sh17,Gapdh,2,18.28415747
J01,Empty,sh11,Gapdh,3,17.0000824
J02,Empty,sh11,Gapdh,3,16.80730495
J03,Scr,sh14,Gapdh,3,17.1436461
J04,Scr,sh14,Gapdh,3,16.86561012
J05,Scr,sh15,Gapdh,3,17.24462334
J06,Scr,sh15,Gapdh,3,17.26562555
J07,Ctu1,sh1,Gapdh,3,19.05372637
J08,Ctu1,sh1,Gapdh,3,18.23054573
J09,Ctu1,sh2,Gapdh,3,18.07594038
J10,Ctu1,sh2,Gapdh,3,17.6763215
J11,Ctu1,sh3,Gapdh,3,17.43884058
J12,Ctu1,sh3,Gapdh,3,17.74502583
J13,Ctu2,sh6,Gapdh,3,17.57101222
J14,Ctu2,sh6,Gapdh,3,18.05332022
J15,Ctu2,sh8,Gapdh,3,17.70531209
J16,Ctu2,sh8,Gapdh,3,17.83677204
J17,Ctu2,sh17,Gapdh,3,18.80932634
J18,Ctu2,sh17,Gapdh,3,18.91883529
