Well,Target,Oligo,Vector,Gene,Bio_Rep,Cq
C04,Elp3,sh20,PLKO.1,Elp3,3,24.39234016
C05,Empty,sh11,PLKO.1,Elp3,3,23.0882174
C06,Empty,sh11,PLKO.1,Elp3,3,23.42795692
C07,Scr,sh14,PLKO.1,Elp3,3,23.04064622
C08,Scr,sh14,PLKO.1,Elp3,3,23.24547344
C09,Scr,sh15,PLKO.1,Elp3,3,23.06993401
C10,Scr,sh15,PLKO.1,Elp3,3,23.57728729
K01,Elp3,sh19,PLKO.1,Gapdh,1,17.74998104
K02,Elp3,sh19,PLKO.1,Gapdh,1,17.48203235
K03,Elp3,sh20,PLKO.1,Gapdh,1,17.0917734
K04,Elp3,sh20,PLKO.1,Gapdh,1,17.16041521
K05,Trmt6,sh23,PLKO.1,Gapdh,1,18.22048945
K06,Trmt6,sh23,PLKO.1,Gapdh,1,18.33809631
K07,Trmt6,sh24,PLKO.1,Gapdh,1,17.8843235
K08,Trmt6,sh24,PLKO.1,Gapdh,1,17.87358303
K09,Trmt6,sh25,PLKO.1,Gapdh,1,18.60459635
K10,Trmt6,sh25,PLKO.1,Gapdh,1,18.55720994
L01,Elp3,sh19,PLKO.1,Gapdh,2,16.54006478
L02,Elp3,sh19,PLKO.1,Gapdh,2,16.33084965
L03,Elp3,sh20,PLKO.1,Gapdh,2,16.09809705
L04,Elp3,sh20,PLKO.1,Gapdh,2,16.35439097
L05,Trmt6,sh23,PLKO.1,Gapdh,2,17.28683949
L06,Trmt6,sh23,PLKO.1,Gapdh,2,17.26107028
L07,Trmt6,sh24,PLKO.1,Gapdh,2,16.19651923
L08,Trmt6,sh24,PLKO.1,Gapdh,2,15.97491483
L09,Trmt6,sh25,PLKO.1,Gapdh,2,18.16335171
L10,Trmt6,sh25,PLKO.1,Gapdh,2,17.41918871
M01,Elp3,sh19,PLKO.1,Gapdh,3,16.98598439
M02,Elp3,sh19,PLKO.1,Gapdh,3,16.7609329
M03,Elp3,sh20,PLKO.1,Gapdh,3,17.01358853
M04,Elp3,sh20,PLKO.1,Gapdh,3,17.13002739
M05,Trmt6,sh23,PLKO.1,Gapdh,3,18.5280012
M06,Trmt6,sh23,PLKO.1,Gapdh,3,18.46673778
M07,Trmt6,sh24,PLKO.1,Gapdh,3,16.97594082
M08,Trmt6,sh24,PLKO.1,Gapdh,3,16.83506188
M09,Trmt6,sh25,PLKO.1,Gapdh,3,18.07020229
M10,Trmt6,sh25,PLKO.1,Gapdh,3,17.62457936
N01,Trmt61a,sh26,PLKO.1,Gapdh,1,18.32402118
N02,Trmt61a,sh26,PLKO.1,Gapdh,1,18.12346205
N03,Trmt61a,sh27,PLKO.1,Gapdh,1,19.51845232
N04,Trmt61a,sh27,PLKO.1,Gapdh,1,19.8063763
N05,Trmt61a,sh28,PLKO.1,Gapdh,1,18.65685625
N06,Trmt61a,sh28,PLKO.1,Gapdh,1,18.57367353
N07,Empty,sh11,PLKO.1,Gapdh,1,17.1495777
N08,Empty,sh11,PLKO.1,Gapdh,1,17.07889668
N09,Scr,sh14,PLKO.1,Gapdh,1,17.07042572
N10,Scr,sh14,PLKO.1,Gapdh,1,16.79650748
N11,Scr,sh15,PLKO.1,Gapdh,1,17.76099105
N12,Scr,sh15,PLKO.1,Gapdh,1,17.12663838
O01,Trmt61a,sh26,PLKO.1,Gapdh,2,16.46726669
O02,Trmt61a,sh26,PLKO.1,Gapdh,2,16.16028887
O03,Trmt61a,sh27,PLKO.1,Gapdh,2,18.52708954
O04,Trmt61a,sh27,PLKO.1,Gapdh,2,18.66095762
O05,Trmt61a,sh28,PLKO.1,Gapdh,2,17.16557443
O06,Trmt61a,sh28,PLKO.1,Gapdh,2,17.06332838
O07,Empty,sh11,PLKO.1,Gapdh,2,18.99108168
O08,Empty,sh11,PLKO.1,Gapdh,2,18.73470735
O09,Scr,sh14,PLKO.1,Gapdh,2,17.79674572
O10,Scr,sh14,PLKO.1,Gapdh,2,17.65952488
