"","Biol_Rep","Treatment","Time","Dose","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq"
"96","2","L","6","med","Gapdh","19.40192","19.40426","19.40309"
"97","2","S","6","med","Gapdh","19.99486","19.80691","19.90088"
"98","2","LS","6","med","Gapdh","19.47100","19.22986","19.35043"
"99","2","L","2","med","Gapdh","19.51123","19.13251","19.32187"
"100","2","S","2","med","Gapdh","19.44168","19.52778","19.48473"
"101","2","LS","2","med","Gapdh","20.97157",NA,"20.97157"
"102","1","L","6","high","Gapdh","19.79166","19.70111","19.74639"
"103","1","S","6","high","Gapdh","19.80359","19.91395","19.85877"
"104","1","LS","6","high","Gapdh","19.64217","19.56553","19.60385"
"105","1","L","2","high","Gapdh","20.04660","19.58763","19.81712"
"106","1","S","2","high","Gapdh","19.97817","19.93545","19.95681"
"107","1","LS","2","high","Gapdh","19.48268","19.51984","19.50126"
"108","2","L","6","high","Gapdh","19.51314","19.33991","19.42652"
"109","2","S","6","high","Gapdh","19.61977","19.53938","19.57957"
"110","2","LS","6","high","Gapdh","19.48914",NA,"19.48914"
"111","2","L","2","high","Gapdh","19.34900","22.95000","21.14950"
"112","2","S","2","high","Gapdh","22.90719","20.84060","21.87389"
"113","2","LS","2","high","Gapdh","20.22862","21.08992","20.65927"
"114","1","Control","0","none","Gapdh","19.37175","19.35948","19.36562"
"115","2","Control","0","none","Gapdh","19.32017","19.19132","19.25574"
"116","3","Control","0","none","Gapdh","19.35080","19.47406","19.41243"
