"","Bio_Rep","Target_oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","system","rep_means_Cq","rep_means_2_Cq","rep_means_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_means_2_Gapdh","Target"
"24","2","Ctu1_sh1","Ctu1","35.10374","34.16781","34.63578","3.746213e-11","22.37238","12.26339706","0.0002033994","1.841801e-07","shRNA","34.31948","4.664521e-11","11.902566","0.0002611985","22.41691","1.785814e-07","Ctu1"
"25","2","Ctu1_sh2","Ctu1","35.00089","33.69448","34.34769","4.574214e-11","21.79203","12.55565216","0.0001661009","2.753876e-07","shRNA","33.91080","6.191999e-11","12.135563","0.0002222447","21.77524","2.786117e-07","Ctu1"
"26","2","Ctu1_sh3","Ctu1","33.45682","32.62759","33.04220","1.130591e-10","21.31767","11.72453495","0.0002955040","3.825977e-07","shRNA","33.40152","8.813344e-11","11.381576","0.0003748040","22.01994","2.351454e-07","Ctu1"
"27","2","Ctu1_sh4","Ctu1","33.32990","32.15039","32.74015","1.393907e-10","20.84191","11.89823627","0.0002619835","5.320590e-07","shRNA","32.50521","1.640426e-10","11.852468","0.0002704280","20.65274","6.066037e-07","Ctu1"
"28","2","Ctu2_g1","Ctu1","38.38522","39.71129","39.04826","1.759154e-12","31.98744"," 7.06081621","0.0074900123","2.348666e-10","gRNA","38.19617","3.175462e-12"," 7.288053","0.0063984912","30.90812","4.962829e-10","Ctu2"
"29","2","Ctu2_g3","Ctu1","35.01990","37.18350","36.10170","1.356143e-11","30.42443"," 5.67726691","0.0195421511","6.939580e-10","gRNA","36.15559","1.306422e-11"," 4.949148","0.0323711491","31.20644","4.035761e-10","Ctu2"
"30","2","Ctu2_g4","Ctu1","33.73126","34.40875","34.07000","5.545074e-11","25.36751"," 8.70249616","0.0024004221","2.310041e-08","gRNA","33.88054","6.323283e-11"," 4.337064","0.0494781818","29.54347","1.277994e-09","Ctu2"
"31","2","Ctu2_g5","Ctu1","33.31954","33.02845","33.17399","1.031890e-10","21.32848","11.84551549","0.0002717343","3.797421e-07","gRNA","33.60820","7.637010e-11","12.139341","0.0002216635","21.46886","3.445317e-07","Ctu2"
"32","2","Ctu2_sh1","Ctu1","35.16806","32.94916","34.05861","5.589052e-11","21.24345","12.81515965","0.0001387562","4.027964e-07","shRNA","33.55252","7.937542e-11","12.487758","0.0001741046","21.06476","4.559064e-07","Ctu2"
"33","2","Ctu2_sh2","Ctu1","34.50977","32.28686","33.39831","8.832963e-11","21.15126","12.24704787","0.0002057175","4.293734e-07","shRNA","33.26722","9.673149e-11","11.944809","0.0002536613","21.32241","3.813412e-07","Ctu2"
"34","2","Ctu2_sh3","Ctu1","34.46784","33.26001","33.86393","6.396492e-11","21.27386","12.59007122","0.0001621851","3.943946e-07","shRNA","34.37582","4.485880e-11","12.686399","0.0001517097","21.68942","2.956885e-07","Ctu2"
"35","2","Ctu2_sh4","Ctu1","34.04344","32.01465","33.02904","1.140951e-10","20.16176","12.86727884","0.0001338330","8.525189e-07","shRNA","32.81603","1.322483e-10","11.995168","0.0002449597","20.82086","5.398779e-07","Ctu2"
"36","2","Empty_sh1","Ctu1","34.70176","33.56886","34.13531","5.299660e-11","22.62760","11.50771074","0.0003434266","1.543171e-07","shRNA","33.89403","6.264428e-11","11.742250","0.0002918976","22.15178","2.146105e-07","Control"
"37","2","Myd88_g1","Ctu1","33.55232","34.16423","33.85828","6.421593e-11","26.17343"," 7.68484864","0.0048599304","1.321334e-08","gRNA","34.57285","3.913219e-11"," 9.426419","0.0014533330","25.14643","2.692582e-08","Control"
