"","Bio_Rep","Target_oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","system","rep_means_Cq","rep_means_2_Cq","rep_means_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_means_2_Gapdh","Target"
"73","1","Myd88_g1","Ctu2","24.75421","25.13310","24.94365","3.098933e-08","16.70498"," 8.2386701","3.310649e-03","9.360498e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"74","1","Myd88_g1","Ctu2","24.75421","25.13310","24.94365","3.098933e-08","17.22666"," 7.7169916","4.752849e-03","6.520157e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"75","1","Myd88_g1","Ctu2","24.75421","25.13310","24.94365","3.098933e-08","15.57098"," 9.3726766","1.508493e-03","2.054324e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"76","1","Myd88_g1","Ctu2","25.42064","25.82293","25.62178","1.936755e-08","16.15968"," 9.4621063","1.417824e-03","1.366005e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"77","1","Myd88_g1","Ctu2","25.42064","25.82293","25.62178","1.936755e-08","16.70498"," 8.9168003","2.069072e-03","9.360498e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"78","1","Myd88_g1","Ctu2","25.42064","25.82293","25.62178","1.936755e-08","17.22666"," 8.3951217","2.970411e-03","6.520157e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"79","1","Myd88_g1","Ctu2","25.42064","25.82293","25.62178","1.936755e-08","15.57098","10.0508068","9.427698e-04","2.054324e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"80","1","Myd88_g1","Ctu2","25.97862","26.24914","26.11388","1.377016e-08","16.15968"," 9.9542025","1.008060e-03","1.366005e-05","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"81","1","Myd88_g1","Ctu2","25.97862","26.24914","26.11388","1.377016e-08","16.70498"," 9.4088965","1.471092e-03","9.360498e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
"82","1","Myd88_g1","Ctu2","25.97862","26.24914","26.11388","1.377016e-08","17.22666"," 8.8872179","2.111936e-03","6.520157e-06","gRNA","25.31650","2.393177e-08"," 8.801871","2.240643e-03","16.51463","1.068076e-05","Control"
