"","Bio_Rep","Target_oligo","Target","Oligo","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"22","2","Empty_sh11","Empty","sh11","Trmt6","26.14163","26.44734","26.29448","1.214987e-08","18.86289","7.431589","0.005792537","2.097505e-06","24.89094","0.8800973","3.214256e-08","7.084286","1.119684e-03","0.007369149","17.80665","0.6571631","4.361773e-06","shRNA"
"23","2","Scr_sh14","Scr","sh14","Trmt6","24.90582","25.27055","25.08818","2.803525e-08","17.72814","7.360047","0.006087023","4.605741e-06","24.34152","0.4847991","4.704053e-08","7.097864","1.016090e-03","0.007300119","17.24366","0.3005473","6.443804e-06","shRNA"
"24","2","Scr_sh15","Scr","sh15","Trmt6","23.86500","24.41024","24.13762","5.418158e-08","16.99321","7.144417","0.007068319","7.665413e-06","24.29108","0.2748069","4.871437e-08","6.979070","1.539077e-03","0.007926667","17.31201","0.1961984","6.145631e-06","shRNA"
"25","2","Trmt6_sh23","Trmt6","sh23","Trmt6","24.22709","24.41662","24.32185","4.768617e-08","17.27395","7.047899","0.007557376","6.309885e-06","24.96741","0.4200470","3.048324e-08","6.950536","5.042686e-04","0.008085004","18.01687","0.4614294","3.770344e-06","shRNA"
"26","2","Trmt6_sh24","Trmt6","sh24","Trmt6","23.35740","23.26229","23.30984","9.616970e-08","16.08572","7.224125","0.006688390","1.437860e-05","24.13512","0.5770747","5.427560e-08","7.178397","3.479897e-04","0.006903783","16.95672","0.6347802","7.861718e-06","shRNA"
"27","2","Trmt6_sh25","Trmt6","sh25","Trmt6","24.49142","24.63275","24.56208","4.037165e-08","17.79127","6.770812","0.009157618","4.408532e-06","25.01155","0.2795825","2.956467e-08","6.938363","1.247752e-03","0.008153512","18.07319","0.3115432","3.626004e-06","shRNA"
"28","3","Empty_sh11","Empty","sh11","Trmt6","24.38625","24.52759","24.45692","4.342434e-08","17.44283","7.014091","0.007736564","5.612871e-06","24.89094","0.8800973","3.214256e-08","7.084286","1.119684e-03","0.007369149","17.80665","0.6571631","4.361773e-06","shRNA"
"29","3","Scr_sh14","Scr","sh14","Trmt6","24.11659","24.27556","24.19607","5.203023e-08","17.06937","7.126709","0.007155615","7.271246e-06","24.34152","0.4847991","4.704053e-08","7.097864","1.016090e-03","0.007300119","17.24366","0.3005473","6.443804e-06","shRNA"
"30","3","Scr_sh15","Scr","sh15","Trmt6","24.60755","24.85848","24.73301","3.586093e-08","17.49900","7.234009","0.006642724","5.398527e-06","24.29108","0.2748069","4.871437e-08","6.979070","1.539077e-03","0.007926667","17.31201","0.1961984","6.145631e-06","shRNA"
"31","3","Trmt6_sh23","Trmt6","sh23","Trmt6","25.73269","25.24930","25.49099","2.120541e-08","18.49737","6.993623","0.007847108","2.702321e-06","24.96741","0.4200470","3.048324e-08","6.950536","5.042686e-04","0.008085004","18.01687","0.4614294","3.770344e-06","shRNA"
"32","3","Trmt6_sh24","Trmt6","sh24","Trmt6","24.14039","24.16718","24.15378","5.357797e-08","16.90550","7.248284","0.006577324","8.145861e-06","24.13512","0.5770747","5.427560e-08","7.178397","3.479897e-04","0.006903783","16.95672","0.6347802","7.861718e-06","shRNA"
"33","3","Trmt6_sh25","Trmt6","sh25","Trmt6","25.32491","25.00886","25.16689","2.654681e-08","17.84739","7.319496","0.006260547","4.240334e-06","25.01155","0.2795825","2.956467e-08","6.938363","1.247752e-03","0.008153512","18.07319","0.3115432","3.626004e-06","shRNA"
"34","1","Empty_sh11","Empty","sh11","Trmt61a","26.56397","26.49455","26.52926","1.032517e-08","17.11424","9.415022","0.001464859","7.048574e-06","26.99172","0.5894095","7.493453e-09","9.185068","1.627317e-04","0.001717983","17.80665","0.6571631","4.361773e-06","shRNA"
"35","1","Scr_sh14","Scr","sh14","Trmt61a","26.02737","26.08024","26.05381","1.435566e-08","16.93347","9.120339","0.001796819","7.989482e-06","26.54550","0.4282960","1.020959e-08","9.301844","1.449555e-04","0.001584405","17.24366","0.3005473","6.443804e-06","shRNA"
"36","1","Scr_sh15","Scr","sh15","Trmt61a","26.11908","25.77016","25.94462","1.548427e-08","17.44381","8.500807","0.002760592","5.609040e-06","25.78749","0.1041245","1.726600e-08","8.475483","2.770185e-04","0.002809476","17.31201","0.1961984","6.145631e-06","shRNA"
"37","1","Trmt61a_sh26","Trmt61a","sh26","Trmt61a","27.69972","27.25038","27.47505","5.360273e-09","18.22374","9.251305","0.001640891","3.266684e-06","26.60366","0.5786804","9.806197e-09","9.280657","1.901578e-04","0.001607844","17.32300","0.6785342","6.098972e-06","shRNA"
"38","1","Trmt61a_sh27","Trmt61a","sh27","Trmt61a","27.56903","28.14258","27.85580","4.116872e-09","19.66241","8.193390","0.003416204","1.205101e-06","26.74265","0.6930415","8.905543e-09","7.928618","4.463991e-04","0.004104384","18.81403","0.5392157","2.169763e-06","shRNA"
"39","1","Trmt61a_sh28","Trmt61a","sh28","Trmt61a","28.22300","28.13686","28.17993","3.288485e-09","18.61526","9.564665","0.001320532","2.490273e-06","27.20531","0.5969479","6.462272e-09","9.581653","2.136577e-05","0.001305074","17.62366","0.6073064","4.951652e-06","shRNA"
