"","Bio_Rep","Target_oligo","Target","Oligo","Virus_amount","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","rep_means_Cq","rep_se_Cq","rep_means_2_Cq","rep_means_dCq","rep_se_2_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_se_Gapdh","rep_means_2_Gapdh","system"
"21","2","Ctu1_sh1","Ctu1","sh1","30 uL","Ctu1","30.94251","31.33741","31.13996","4.226092e-10","18.64371","12.496247","0.0001730832","2.441654e-06","30.88318","0.2567781050","5.049366e-10","12.226420","3.925730e-05","0.0002086800","18.65676","0.01304873","2.419669e-06","shRNA"
"22","2","Ctu1_sh2","Ctu1","sh2","100 uL","Ctu1","30.88785","30.83237","30.86011","5.130760e-10","19.14632","11.713787","0.0002977136","1.723388e-06","30.96021","0.1000976850","4.786844e-10","12.264070","7.943988e-05","0.0002033046","18.69614","0.45018514","2.354519e-06","shRNA"
"23","2","Ctu1_sh2","Ctu1","sh2","30 uL","Ctu1","30.25418","30.83591","30.54505","6.383005e-10","18.01717","12.527876","0.0001693299","3.769568e-06","30.46150","0.0835501175","6.763575e-10","12.218540","4.533480e-05","0.0002098230","18.24296","0.22578601","3.223467e-06","shRNA"
"24","2","Ctu1_sh3","Ctu1","sh3","100 uL","Ctu1","28.86700","28.27795","28.57247","2.505118e-09","17.42808","11.144395","0.0004417768","5.670551e-06","28.58868","0.0162015925","2.477142e-09","10.956349","6.578519e-05","0.0005032807","17.63233","0.20424728","4.921990e-06","shRNA"
"25","2","Ctu1_sh3","Ctu1","sh3","30 uL","Ctu1","29.00824","28.55210","28.78017","2.169225e-09","17.53837","11.241803","0.0004129335","5.253206e-06","28.57944","0.2007348675","2.493054e-09","10.859883","1.441148e-04","0.0005380834","17.71956","0.18118549","4.633212e-06","shRNA"
"26","2","Ctu2_sh17","Ctu2","sh17","100 uL","Ctu1","29.03172","29.48217","29.25695","1.558768e-09","19.29533"," 9.961618","0.0010028922","1.554273e-06","29.54815","0.2912037850","1.273856e-09","10.484030","2.583933e-04","0.0006982203","19.06412","0.23120868","1.824434e-06","shRNA"
"27","2","Ctu2_sh17","Ctu2","sh17","30 uL","Ctu1","29.99551","30.20600","30.10076","8.684984e-10","19.27268","10.828078","0.0005500775","1.578866e-06","29.74044","0.3603173150","1.114898e-09","10.258319","3.308912e-04","0.0008164660","19.48212","0.20944081","1.365517e-06","shRNA"
"28","2","Ctu2_sh6","Ctu2","sh6","100 uL","Ctu1","28.31090","28.53050","28.42070","2.783026e-09","18.16904","10.251656","0.0008202461","3.392916e-06","28.46953","0.0488316000","2.690404e-09","10.378765","6.625898e-05","0.0007510701","18.09077","0.07827763","3.582094e-06","shRNA"
"29","2","Ctu2_sh6","Ctu2","sh6","30 uL","Ctu1","28.33760","28.38985","28.36373","2.895127e-09","18.29948","10.064244","0.0009340296","3.099609e-06","28.40735","0.0436248575","2.808893e-09","10.172562","6.511585e-05","0.0008664705","18.23479","0.06469287","3.241765e-06","shRNA"
"30","2","Ctu2_sh7","Ctu2","sh7","100 uL","Ctu1","28.79824","29.06280","28.93052","1.954545e-09","17.66042","11.270095","0.0004049145","4.827057e-06","29.40513","0.4746066850","1.406614e-09","11.436274","4.165806e-05","0.0003608599","17.96885","0.30842809","3.897951e-06","shRNA"
"31","2","Ctu2_sh7","Ctu2","sh7","30 uL","Ctu1","29.00934","28.52788","28.76861","2.186685e-09","18.29372","10.474890","0.0007026579","3.112019e-06","28.91915","0.1505397250","1.970014e-09","10.518593","2.065361e-05","0.0006816915","18.40055","0.10683621","2.889890e-06","shRNA"
"32","2","Ctu2_sh8","Ctu2","sh8","100 uL","Ctu1","28.75719","29.11514","28.93616","1.946914e-09","17.64926","11.286907","0.0004002233","4.864568e-06","29.63580","0.6996314500","1.198772e-09","11.215923","2.069353e-05","0.0004204079","18.41987","0.77061589","2.851450e-06","shRNA"
"33","2","Ctu2_sh8","Ctu2","sh8","30 uL","Ctu1","29.82408","30.54117","30.18263","8.205865e-10","19.37310","10.809527","0.0005571961","1.472707e-06","29.70466","0.4779686625","1.142898e-09","10.642558","7.256071e-05","0.0006255627","19.06210","0.31099954","1.826991e-06","shRNA"
"34","2","Empty_sh11","Empty","sh11","100 uL","Ctu1","28.84875","28.85968","28.85421","2.060706e-09","17.66892","11.185297","0.0004294278","4.798724e-06","28.69964","0.1545781000","2.293763e-09","11.277643","2.580091e-05","0.0004028015","17.42199","0.24692491","5.694526e-06","shRNA"
"35","2","Empty_sh11","Empty","sh11","30 uL","Ctu1","27.99534","28.20222","28.09878","3.478752e-09","18.33557"," 9.763212","0.0011507480","3.023035e-06","28.30498","0.2061993800","3.015444e-09"," 9.929396","1.183934e-04","0.0010255434","18.37559","0.04001588","2.940338e-06","shRNA"
"36","2","Scr_sh14","Scr","sh14","100 uL","Ctu1","28.18106","28.34176","28.26141","3.107907e-09","17.76966","10.491746","0.0006944958","4.475056e-06","28.78628","0.5248685325","2.160065e-09","10.879331","1.443439e-04","0.0005308784","17.90695","0.13728419","4.068851e-06","shRNA"
"37","2","Scr_sh14","Scr","sh14","30 uL","Ctu1","28.37816","28.45563","28.41690","2.790368e-09","17.74256","10.674339","0.0006119329","4.559924e-06","28.47506","0.0581656500","2.680105e-09","10.617441","2.511109e-05","0.0006365489","17.85762","0.11506349","4.210368e-06","shRNA"
"38","2","Scr_sh15","Scr","sh15","100 uL","Ctu1","28.61458","28.98385","28.79921","2.140785e-09","17.71269","11.086521","0.0004598590","4.655308e-06","28.88915","0.0899332350","2.011409e-09","11.088961","7.765837e-07","0.0004590817","17.80018","0.08749277","4.381375e-06","shRNA"
"39","2","Scr_sh15","Scr","sh15","30 uL","Ctu1","29.28321","28.71486","28.99904","1.863888e-09","18.66736","10.331677","0.0007759884","2.401953e-06","28.73227","0.2667728100","2.242468e-09","10.164381","1.012747e-04","0.0008713977","18.56788","0.09947657","2.573415e-06","shRNA"
"40","1","Ctu1_sh1","Ctu1","sh1","30 uL","Ctu2","26.15268","26.14980","26.15124","1.341813e-08","18.66981"," 7.481434","0.0055958235","2.397883e-06","26.25790","0.1066565575","1.246192e-08"," 7.601139","4.278250e-04","0.0051502597","18.65676","0.01304873","2.419669e-06","shRNA"
"41","1","Ctu1_sh2","Ctu1","sh2","100 uL","Ctu2","26.27781","26.67068","26.47425","1.072649e-08","18.24595"," 8.228296","0.0033345422","3.216780e-06","26.47478","0.0005369675","1.072250e-08"," 7.778647","1.442450e-03","0.0045540081","18.69614","0.45018514","2.354519e-06","shRNA"
"42","1","Ctu1_sh2","Ctu1","sh2","30 uL","Ctu2","26.27901","26.21052","26.24476","1.257589e-08","18.46874"," 7.776023","0.0045623003","2.756480e-06","26.14155","0.1032129000","1.350856e-08"," 7.898596","3.564747e-04","0.0041906915","18.24296","0.22578601","3.223467e-06","shRNA"
"43","1","Ctu1_sh3","Ctu1","sh3","100 uL","Ctu2","25.71366","25.87467","25.79417","1.718627e-08","17.83657"," 7.957594","0.0040227726","4.272245e-06","25.65302","0.1411475150","1.895271e-08"," 8.020694","1.684699e-04","0.0038506191","17.63233","0.20424728","4.921990e-06","shRNA"
"44","1","Ctu1_sh3","Ctu1","sh3","30 uL","Ctu2","25.58673","25.80923","25.69798","1.837120e-08","17.90074"," 7.797237","0.0044957036","4.086391e-06","25.96697","0.2689902625","1.524626e-08"," 8.247413","1.043551e-03","0.0032906468","17.71956","0.18118549","4.633212e-06","shRNA"
"45","1","Ctu2_sh17","Ctu2","sh17","100 uL","Ctu2","27.62697","27.87058","27.74877","4.433905e-09","18.83291"," 8.915864","0.0020704161","2.141553e-06","27.58712","0.1616551000","4.959632e-09"," 8.523000","7.494508e-04","0.0027184504","19.06412","0.23120868","1.824434e-06","shRNA"
"46","1","Ctu2_sh17","Ctu2","sh17","30 uL","Ctu2","28.19960","28.10902","28.15431","3.347405e-09","19.69156"," 8.462748","0.0028343861","1.180998e-06","28.21533","0.0610222425","3.208771e-09"," 8.733211","4.431144e-04","0.0023498574","19.48212","0.20944081","1.365517e-06","shRNA"
