"","Bio_Rep","Target_oligo","Treatment","Gene","Tech_Rep_1","Tech_Rep_2","Avg_Cq","2_Avg_Cq","Gapdh_Avg_Cq","dCq","2_dCq","2_Gapdh_Avg_Cq","system","rep_means_Cq","rep_means_2_Cq","rep_means_dCq","rep_means_2_dCq","rep_means_Gapdh","rep_means_2_Gapdh","Target"
"25","2","Myd88_g1","LPS_10","Ctu1","28.18623","28.22425","28.20524","3.231290e-09","16.05559","12.149652","2.200849e-04","1.468202e-05","gRNA","28.34902","2.924786e-09","11.968735","2.494892e-04","16.38029","1.172310e-05","Control"
"26","2","Myd88_g1","LPS_100","Ctu1","28.31790","28.15343","28.23566","3.163871e-09","16.31382","11.921839","2.577324e-04","1.227580e-05","gRNA","28.35927","2.904079e-09","12.122522","2.242628e-04","16.23675","1.294944e-05","Control"
"27","2","Myd88_g1","None","Ctu1","28.64037","28.54888","28.59462","2.466949e-09","16.50840","12.086223","2.299770e-04","1.072694e-05","gRNA","28.59462","2.466949e-09","12.086223","2.299770e-04","16.50840","1.072694e-05","Control"
"28","2","Myd88_g1","Pam","Ctu1","30.29276","30.25160","30.27218","7.711982e-10","17.91133","12.360847","1.901141e-04","4.056502e-06","gRNA","29.98136","9.434349e-10","12.412361","1.834455e-04","17.56900","5.142862e-06","Control"
"29","2","Scr_g2","None","Ctu1","28.10116","28.37302","28.23709","3.160738e-09","16.34006","11.897029","2.622028e-04","1.205456e-05","gRNA","28.45940","2.709365e-09","11.867264","2.676687e-04","16.59213","1.012208e-05","Control"
"30","2","Untrans. (-puro)","None","Ctu1","29.57373","29.35967","29.46670","1.347844e-09","17.50406","11.962644","2.505448e-04","5.379652e-06","shRNA","29.16630","1.659849e-09","11.901008","2.614807e-04","17.26529","6.347885e-06","Control"
"31","2","Untrans. (+puro)","None","Ctu1","38.98426",NA,"38.98426","1.838941e-12","26.75423","12.230034","2.081579e-04","8.834356e-09","shRNA","38.23453","3.092150e-12","11.276040","4.032494e-04","26.95849","7.668082e-09","Control"
"32","1","Ctu1_g1","None","Ctu2","27.11052","27.80289","27.45670","5.428859e-09","16.87323","10.583474","6.517138e-04","8.330127e-06","gRNA","25.86517","1.636087e-08"," 9.335889","1.547453e-03","16.52929","1.057278e-05","Ctu1"
"33","1","Ctu1_g2","None","Ctu2","25.84111","26.85925","26.35018","1.168975e-08","15.68594","10.664241","6.162312e-04","1.896974e-05","gRNA","25.32925","2.372123e-08"," 9.354380","1.527745e-03","15.97487","1.552695e-05","Ctu1"
"34","1","Ctu1_g4","None","Ctu2","27.09321","27.43210","27.26265","6.210455e-09","16.48591","10.776747","5.700013e-04","1.089551e-05","gRNA","25.72929","1.797674e-08"," 9.485124","1.395383e-03","16.24417","1.288302e-05","Ctu1"
"35","1","Ctu1_g5","None","Ctu2","27.01978","27.32303","27.17140","6.615955e-09","16.42216","10.749246","5.809710e-04","1.138775e-05","gRNA","25.69672","1.838719e-08"," 9.576120","1.310088e-03","16.12060","1.403508e-05","Ctu1"
"36","1","Ctu2_g1","None","Ctu2","27.87201","28.99237","28.43219","2.760950e-09","15.97524","12.456943","1.778633e-04","1.552287e-05","gRNA","26.97513","7.580117e-09","10.661402","6.174450e-04","16.31373","1.227659e-05","Ctu2"
"37","1","Ctu2_g3","None","Ctu2","27.05084","27.73064","27.39074","5.682843e-09","15.33195","12.058793","2.343914e-04","2.424510e-05","gRNA","26.29975","1.210558e-08","10.521530","6.803055e-04","15.77822","1.779433e-05","Ctu2"
"38","1","Ctu2_g4","None","Ctu2","24.95653","24.84953","24.90303","3.187428e-08","17.07410"," 7.828935","4.398005e-03","7.247439e-06","gRNA","24.97006","3.042720e-08"," 8.458021","2.843688e-03","16.51204","1.069991e-05","Ctu2"
"39","1","Ctu2_g5","None","Ctu2","26.21730","26.75518","26.48624","1.063768e-08","17.71523"," 8.771008","2.289093e-03","4.647115e-06","gRNA","26.35707","1.163406e-08"," 8.827325","2.201458e-03","17.52974","5.284708e-06","Ctu2"
"40","1","Myd88_g1","LPS_1","Ctu2","25.42064","25.82293","25.62178","1.936755e-08","15.57098","10.050807","9.427698e-04","2.054324e-05","gRNA","25.95557","1.536722e-08","10.119607","8.988655e-04","15.83596","1.709624e-05","Control"
"41","1","Myd88_g1","LPS_10","Ctu2","24.40703","24.55652","24.48177","4.268266e-08","16.70498"," 7.776791","4.559871e-03","9.360498e-06","gRNA","24.42538","4.438429e-08"," 8.045089","3.786056e-03","16.38029","1.172310e-05","Control"
"42","1","Myd88_g1","LPS_100","Ctu2","24.75421","25.13310","24.94365","3.098933e-08","16.15968"," 8.783976","2.268609e-03","1.366005e-05","gRNA","24.88338","3.231134e-08"," 8.646634","2.495192e-03","16.23675","1.294944e-05","Control"
"43","1","Myd88_g1","Pam","Ctu2","25.97862","26.24914","26.11388","1.377016e-08","17.22666"," 8.887218","2.111936e-03","6.520157e-06","gRNA","26.32251","1.191613e-08"," 8.753512","2.317023e-03","17.56900","5.142862e-06","Control"
"44","1","Scr_g2","None","Ctu2","24.48305","25.08642","24.78473","3.459803e-08","16.84421"," 7.940528","4.070641e-03","8.499405e-06","gRNA","24.64878","3.801702e-08"," 8.056645","3.755850e-03","16.59213","1.012208e-05","Control"
"45","1","Untrans. (-puro)","None","Ctu2","24.95111","25.24208","25.09660","2.787225e-08","17.02653"," 8.070066","3.721071e-03","7.490382e-06","shRNA","25.15885","2.669505e-08"," 7.893560","4.205345e-03","17.26529","6.347885e-06","Control"
"46","1","Untrans. (+puro)","None","Ctu2","34.73776",NA,"34.73776","3.490537e-11","27.16275"," 7.575014","5.244374e-03","6.655774e-09","shRNA","34.73776","3.490537e-11"," 7.575014","5.244374e-03","27.16275","6.655774e-09","Control"
"47","2","Ctu1_g1","None","Ctu2","24.22662","24.32068","24.27365","4.930654e-08","16.18534"," 8.088303","3.674329e-03","1.341919e-05","gRNA","25.86517","1.636087e-08"," 9.335889","1.547453e-03","16.52929","1.057278e-05","Ctu1"
"48","2","Ctu1_g2","None","Ctu2","24.19543","24.42119","24.30831","4.813593e-08","16.26379"," 8.044520","3.787549e-03","1.270899e-05","gRNA","25.32925","2.372123e-08"," 9.354380","1.527745e-03","15.97487","1.552695e-05","Ctu1"
"49","2","Ctu1_g4","None","Ctu2","24.04711","24.34475","24.19593","5.203534e-08","16.00243"," 8.193500","3.415944e-03","1.523308e-05","gRNA","25.72929","1.797674e-08"," 9.485124","1.395383e-03","16.24417","1.288302e-05","Ctu1"
"50","2","Ctu1_g5","None","Ctu2","24.10675","24.33734","24.22204","5.110205e-08","15.81905"," 8.402994","2.954246e-03","1.729783e-05","gRNA","25.69672","1.838719e-08"," 9.576120","1.310088e-03","16.12060","1.403508e-05","Ctu1"
"51","2","Ctu2_g1","None","Ctu2","25.48909","25.54706","25.51808","2.081102e-08","16.65222"," 8.865860","2.143434e-03","9.709194e-06","gRNA","26.97513","7.580117e-09","10.661402","6.174450e-04","16.31373","1.227659e-05","Ctu2"
