,Well,Fluor,Target,Content,Sample,Cq,SQ
,F03,SYBR,,Unkn,,23.2611034048826,NaN
,F04,SYBR,,Unkn,,23.3520504009618,NaN
,F05,SYBR,,Unkn,,20.8394843232589,NaN
,F06,SYBR,,Unkn,,20.3440736503508,NaN
,F07,SYBR,,Unkn,,17.6159466102522,NaN
,F08,SYBR,,Unkn,,18.0122118163919,NaN
,F09,SYBR,,Unkn,,22.3486636448043,NaN
,F10,SYBR,,Unkn,,22.3484735388287,NaN
,F11,SYBR,,Unkn,,16.744732153523,NaN
,F12,SYBR,,Unkn,,16.9826214834292,NaN
,F13,SYBR,,Unkn,,NaN,NaN
,F14,SYBR,,Unkn,,NaN,NaN
,F15,SYBR,,Unkn,,NaN,NaN
,F16,SYBR,,Unkn,,NaN,NaN
,F17,SYBR,,Unkn,,NaN,NaN
,F18,SYBR,,Unkn,,NaN,NaN
,F19,SYBR,,Unkn,,NaN,NaN
,F20,SYBR,,Unkn,,NaN,NaN
,F21,SYBR,,Unkn,,NaN,NaN
,F22,SYBR,,Unkn,,NaN,NaN
,F23,SYBR,,Unkn,,NaN,NaN
,F24,SYBR,,Unkn,,NaN,NaN
,G01,SYBR,,Unkn,,19.3332790133872,NaN
,G02,SYBR,,Unkn,,19.1149502904399,NaN
,G03,SYBR,,Unkn,,19.312341952042,NaN
,G04,SYBR,,Unkn,,19.2119072624226,NaN
,G05,SYBR,,Unkn,,19.141221672625,NaN
,G06,SYBR,,Unkn,,19.2301071084681,NaN
,G07,SYBR,,Unkn,,19.7144825841179,NaN
,G08,SYBR,,Unkn,,19.6478699115121,NaN
,G09,SYBR,,Unkn,,19.6652345027344,NaN
,G10,SYBR,,Unkn,,19.786484021581,NaN
,G11,SYBR,,Unkn,,20.1114416158278,NaN
,G12,SYBR,,Unkn,,19.7515706930392,NaN
,G13,SYBR,,Unkn,,NaN,NaN
,G14,SYBR,,Unkn,,NaN,NaN
,G15,SYBR,,Unkn,,NaN,NaN
,G16,SYBR,,Unkn,,NaN,NaN
,G17,SYBR,,Unkn,,NaN,NaN
,G18,SYBR,,Unkn,,NaN,NaN
,G19,SYBR,,Unkn,,NaN,NaN
,G20,SYBR,,Unkn,,NaN,NaN
,G21,SYBR,,Unkn,,NaN,NaN
,G22,SYBR,,Unkn,,NaN,NaN
,G23,SYBR,,Unkn,,NaN,NaN
,G24,SYBR,,Unkn,,NaN,NaN
,H01,SYBR,,Unkn,,19.1092452937468,NaN
,H02,SYBR,,Unkn,,19.4038554447853,NaN
,H03,SYBR,,Unkn,,19.2992376905622,NaN
,H04,SYBR,,Unkn,,19.4235566401954,NaN
,H05,SYBR,,Unkn,,18.8994287259407,NaN
,H06,SYBR,,Unkn,,19.13305776713,NaN
,H07,SYBR,,Unkn,,19.418048449576,NaN
,H08,SYBR,,Unkn,,19.0724664418256,NaN
,H09,SYBR,,Unkn,,19.162684478781,NaN
,H10,SYBR,,Unkn,,19.1427209332262,NaN
,H11,SYBR,,Unkn,,18.969850430606,NaN
,H12,SYBR,,Unkn,,18.8453098527378,NaN
,H13,SYBR,,Unkn,,NaN,NaN
,H14,SYBR,,Unkn,,NaN,NaN
,H15,SYBR,,Unkn,,NaN,NaN
,H16,SYBR,,Unkn,,NaN,NaN
,H17,SYBR,,Unkn,,NaN,NaN
,H18,SYBR,,Unkn,,NaN,NaN
,H19,SYBR,,Unkn,,NaN,NaN
,H20,SYBR,,Unkn,,NaN,NaN
,H21,SYBR,,Unkn,,NaN,NaN
,H22,SYBR,,Unkn,,NaN,NaN
,H23,SYBR,,Unkn,,NaN,NaN
,H24,SYBR,,Unkn,,NaN,NaN
,I01,SYBR,,Unkn,,19.3360812941194,NaN
,I02,SYBR,,Unkn,,19.5977031349845,NaN
,I03,SYBR,,Unkn,,19.3293114430844,NaN
,I04,SYBR,,Unkn,,19.0332106608808,NaN
,I05,SYBR,,Unkn,,19.3853625977482,NaN
,I06,SYBR,,Unkn,,19.4147711121689,NaN
,I07,SYBR,,Unkn,,18.9280013920364,NaN
,I08,SYBR,,Unkn,,19.2535429432262,NaN
,I09,SYBR,,Unkn,,19.0480918401217,NaN
,I10,SYBR,,Unkn,,19.1172314518685,NaN
,I11,SYBR,,Unkn,,19.0777399053945,NaN
,I12,SYBR,,Unkn,,18.5091329489331,NaN
,I13,SYBR,,Unkn,,NaN,NaN
,I14,SYBR,,Unkn,,NaN,NaN
,I15,SYBR,,Unkn,,NaN,NaN
,I16,SYBR,,Unkn,,NaN,NaN
,I17,SYBR,,Unkn,,NaN,NaN
,I18,SYBR,,Unkn,,NaN,NaN
,I19,SYBR,,Unkn,,NaN,NaN
,I20,SYBR,,Unkn,,NaN,NaN
,I21,SYBR,,Unkn,,NaN,NaN
,I22,SYBR,,Unkn,,NaN,NaN
,I23,SYBR,,Unkn,,NaN,NaN
,I24,SYBR,,Unkn,,NaN,NaN
,J01,SYBR,,Unkn,,19.6859433522829,NaN
,J02,SYBR,,Unkn,,19.205368658727,NaN
,J03,SYBR,,Unkn,,19.4293885239813,NaN
,J04,SYBR,,Unkn,,19.0444458702103,NaN
,J05,SYBR,,Unkn,,19.3268604035474,NaN
,J06,SYBR,,Unkn,,19.1440621799308,NaN
,J07,SYBR,,Unkn,,19.4167067523753,NaN
,J08,SYBR,,Unkn,,19.562324253108,NaN
,J09,SYBR,,Unkn,,19.2401387994121,NaN
,J10,SYBR,,Unkn,,19.1771848551491,NaN
,J11,SYBR,,Unkn,,18.8649296562962,NaN
,J12,SYBR,,Unkn,,18.3338992511312,NaN
,J13,SYBR,,Unkn,,NaN,NaN
,J14,SYBR,,Unkn,,NaN,NaN
,J15,SYBR,,Unkn,,NaN,NaN
,J16,SYBR,,Unkn,,NaN,NaN
,J17,SYBR,,Unkn,,NaN,NaN
,J18,SYBR,,Unkn,,NaN,NaN
,J19,SYBR,,Unkn,,NaN,NaN
,J20,SYBR,,Unkn,,NaN,NaN
,J21,SYBR,,Unkn,,NaN,NaN
,J22,SYBR,,Unkn,,NaN,NaN
,J23,SYBR,,Unkn,,NaN,NaN
,J24,SYBR,,Unkn,,NaN,NaN
,K01,SYBR,,Unkn,,19.1028704728296,NaN
,K02,SYBR,,Unkn,,18.3930595717793,NaN
,K03,SYBR,,Unkn,,19.4901971809688,NaN
,K04,SYBR,,Unkn,,18.9688464825685,NaN
,K05,SYBR,,Unkn,,19.0189439009358,NaN
,K06,SYBR,,Unkn,,18.7762886414481,NaN
,K07,SYBR,,Unkn,,19.4755548973647,NaN
,K08,SYBR,,Unkn,,19.4737710580417,NaN
,K09,SYBR,,Unkn,,19.4039718322415,NaN
,K10,SYBR,,Unkn,,19.43617408036,NaN
,K11,SYBR,,Unkn,,19.0185317236005,NaN
,K12,SYBR,,Unkn,,18.1175689229546,NaN
,K13,SYBR,,Unkn,,NaN,NaN
,K14,SYBR,,Unkn,,NaN,NaN
,K15,SYBR,,Unkn,,NaN,NaN
,K16,SYBR,,Unkn,,NaN,NaN
,K17,SYBR,,Unkn,,NaN,NaN
,K18,SYBR,,Unkn,,NaN,NaN
,K19,SYBR,,Unkn,,NaN,NaN
,K20,SYBR,,Unkn,,NaN,NaN
,K21,SYBR,,Unkn,,NaN,NaN
,K22,SYBR,,Unkn,,NaN,NaN
,K23,SYBR,,Unkn,,NaN,NaN
,K24,SYBR,,Unkn,,NaN,NaN
,L01,SYBR,,Unkn,,19.0889009825126,NaN
,L02,SYBR,,Unkn,,19.599293172049,NaN
,L03,SYBR,,Unkn,,20.0416569176398,NaN
,L04,SYBR,,Unkn,,19.9254207747767,NaN
,L05,SYBR,,Unkn,,19.1806961167244,NaN
,L06,SYBR,,Unkn,,19.2191140240044,NaN
,L07,SYBR,,Unkn,,19.1355736562947,NaN
,L08,SYBR,,Unkn,,19.0689377635087,NaN
,L09,SYBR,,Unkn,,18.9353490470157,NaN
,L10,SYBR,,Unkn,,18.8304830523322,NaN
,L11,SYBR,,Unkn,,18.7391154648318,NaN
,L12,SYBR,,Unkn,,18.7141416068814,NaN
,L13,SYBR,,Unkn,,NaN,NaN
,L14,SYBR,,Unkn,,NaN,NaN
,L15,SYBR,,Unkn,,NaN,NaN
,L16,SYBR,,Unkn,,NaN,NaN
,L17,SYBR,,Unkn,,NaN,NaN
,L18,SYBR,,Unkn,,NaN,NaN
,L19,SYBR,,Unkn,,NaN,NaN
,L20,SYBR,,Unkn,,NaN,NaN
,L21,SYBR,,Unkn,,NaN,NaN
,L22,SYBR,,Unkn,,NaN,NaN
,L23,SYBR,,Unkn,,NaN,NaN
,L24,SYBR,,Unkn,,NaN,NaN
,M01,SYBR,,Unkn,,22.0049597857756,NaN
,M02,SYBR,,Unkn,,22.142719521071,NaN
,M03,SYBR,,Unkn,,21.6715078590752,NaN
