Biol_Rep,Tech_Rep,Treatment,Time,Dose,Well,Gene,Cq
1,2,S,2,high,G10,Il6,25.73529189
1,1,LS,2,high,G11,Il6,19.24361505
1,2,LS,2,high,G12,Il6,19.49977463
2,1,L,6,high,G13,Il6,18.76540302
2,2,L,6,high,G14,Il6,18.73823997
2,1,S,6,high,G15,Il6,22.55605978
2,2,S,6,high,G16,Il6,22.62473869
2,1,LS,6,high,G17,Il6,17.91760397
2,2,LS,6,high,G18,Il6,18.01741102
2,1,L,2,high,G19,Il6,19.01764367
2,1,S,2,high,G21,Il6,26.74709088
2,1,LS,2,high,G23,Il6,21.03087162
2,2,LS,2,high,G24,Il6,18.91754964
1,1,Control,0,none,H01,Il6,28.298083
1,2,Control,0,none,H02,Il6,28.12058067
2,1,Control,0,none,H03,Il6,28.26442877
2,2,Control,0,none,H04,Il6,28.39334391
3,1,Control,0,none,H05,Il6,28.02166395
3,2,Control,0,none,H06,Il6,28.15271781
1,1,L,6,low,I01,Gapdh,20.02168249
1,2,L,6,low,I02,Gapdh,20.04370938
1,1,S,6,low,I03,Gapdh,20.11398194
1,2,S,6,low,I04,Gapdh,20.1905708
1,1,LS,6,low,I05,Gapdh,20.01233873
1,2,LS,6,low,I06,Gapdh,19.86790375
1,1,L,2,low,I07,Gapdh,20.45938121
1,2,L,2,low,I08,Gapdh,20.13151362
1,1,S,2,low,I09,Gapdh,20.7781139
1,2,S,2,low,I10,Gapdh,20.89343056
1,1,LS,2,low,I11,Gapdh,20.88538162
1,2,LS,2,low,I12,Gapdh,20.9466289
2,1,L,6,low,I13,Gapdh,19.33530759
2,2,L,6,low,I14,Gapdh,19.56883006
2,1,S,6,low,I15,Gapdh,19.43319114
2,2,S,6,low,I16,Gapdh,19.53435462
2,1,LS,6,low,I17,Gapdh,19.47750393
2,2,LS,6,low,I18,Gapdh,19.43643152
2,1,L,2,low,I19,Gapdh,18.7812161
2,1,S,2,low,I21,Gapdh,22.8096545
2,2,S,2,low,I22,Gapdh,19.27473697
2,1,LS,2,low,I23,Gapdh,20.26584759
2,2,LS,2,low,I24,Gapdh,22.43634737
1,1,L,6,med,J01,Gapdh,19.54358212
1,2,L,6,med,J02,Gapdh,19.35919864
1,1,S,6,med,J03,Gapdh,20.45558876
1,2,S,6,med,J04,Gapdh,20.34711411
1,1,LS,6,med,J05,Gapdh,19.40263807
1,2,LS,6,med,J06,Gapdh,20.23606698
1,1,L,2,med,J07,Gapdh,19.67194071
1,2,L,2,med,J08,Gapdh,21.17218721
1,1,S,2,med,J09,Gapdh,20.48329924
1,2,S,2,med,J10,Gapdh,20.50917712
1,1,LS,2,med,J11,Gapdh,19.72255016
1,2,LS,2,med,J12,Gapdh,19.90455569
2,1,L,6,med,J13,Gapdh,19.40191949
