Well,Gene,Target,Oligo,Bio_Rep,Treatment,Cq
F13,Ctu2,Ctu2,g5,1,None,26.21729883
F14,Ctu2,Ctu2,g5,1,None,26.75518369
F15,Ctu2,Ctu2,g5,2,None,26.02557637
F16,Ctu2,Ctu2,g5,2,None,26.43022087
F17,Ctu2,Myd88,g1,1,Pam,25.9786222
F18,Ctu2,Myd88,g1,1,Pam,26.24913725
F19,Ctu2,Untrans. (+puro),,1,None,34.73776007
F23,Ctu2,Myd88,g1,2,Pam,26.06805466
F24,Ctu2,Myd88,g1,2,Pam,26.99422252
G01,Gapdh,Ctu1,g1,1,None,15.99106821
G02,Gapdh,Ctu1,g1,1,None,17.7553921
G03,Gapdh,Ctu1,g2,1,None,15.15331621
G04,Gapdh,Ctu1,g2,1,None,16.21856488
G05,Gapdh,Ctu1,g4,1,None,15.3392993
G06,Gapdh,Ctu1,g4,1,None,17.63251418
G07,Gapdh,Ctu1,g5,1,None,15.20839387
G08,Gapdh,Ctu1,g5,1,None,17.63592069
G09,Gapdh,Ctu2,g1,1,None,14.92283612
G10,Gapdh,Ctu2,g1,1,None,17.02765388
G11,Gapdh,Ctu2,g3,1,None,14.59434086
G12,Gapdh,Ctu2,g3,1,None,16.06955363
H01,Gapdh,Ctu1,g1,2,None,16.43114129
H02,Gapdh,Ctu1,g1,2,None,15.93954366
H03,Gapdh,Ctu1,g2,2,None,16.21904859
H04,Gapdh,Ctu1,g2,2,None,16.30853353
H05,Gapdh,Ctu1,g4,2,None,15.96066832
H06,Gapdh,Ctu1,g4,2,None,16.04419735
H07,Gapdh,Ctu1,g5,2,None,15.7102265
H08,Gapdh,Ctu1,g5,2,None,15.92787216
H09,Gapdh,Ctu2,g1,2,None,17.09558124
H10,Gapdh,Ctu2,g1,2,None,16.20885293
H11,Gapdh,Ctu2,g3,2,None,16.14634057
H12,Gapdh,Ctu2,g3,2,None,16.30265629
I01,Gapdh,Myd88,g1,1,LPS_100,16.17165672
I02,Gapdh,Myd88,g1,1,LPS_100,16.1476977
I03,Gapdh,Myd88,g1,2,LPS_100,16.20489675
I04,Gapdh,Myd88,g1,2,LPS_100,16.4227502
I05,Gapdh,Myd88,g1,1,LPS_10,16.8003767
I06,Gapdh,Myd88,g1,1,LPS_10,16.60958983
I07,Gapdh,Myd88,g1,2,LPS_10,16.00974833
I08,Gapdh,Myd88,g1,2,LPS_10,16.10143244
I09,Gapdh,Myd88,g1,1,LPS_1,15.40603777
I10,Gapdh,Myd88,g1,1,LPS_1,15.73591571
I11,Gapdh,Myd88,g1,2,LPS_1,15.77498735
I12,Gapdh,Myd88,g1,2,LPS_1,16.42690578
J01,Gapdh,Scr,g2,1,None,17.10957868
J02,Gapdh,Scr,g2,1,None,16.57883469
J03,Gapdh,Scr,g2,2,None,16.35934514
J04,Gapdh,Scr,g2,2,None,16.32077849
J05,Gapdh,Myd88,g1,2,None,16.52973748
J06,Gapdh,Myd88,g1,2,None,16.48706592
J07,Gapdh,Untrans. (-puro),,1,None,17.13699133
J08,Gapdh,Untrans. (-puro),,1,None,16.91606723
J09,Gapdh,Untrans. (-puro),,2,None,17.66994086
J10,Gapdh,Untrans. (-puro),,2,None,17.33817046
J11,Gapdh,Ctu2,g4,1,None,17.0172979
J12,Gapdh,Ctu2,g4,1,None,17.13089659
K11,Gapdh,Ctu2,g4,2,None,15.88788545
K12,Gapdh,Ctu2,g4,2,None,16.01208751
L01,Gapdh,Ctu2,g5,1,None,17.80046815
L02,Gapdh,Ctu2,g5,1,None,17.62999834
L03,Gapdh,Ctu2,g5,2,None,17.32886682
L04,Gapdh,Ctu2,g5,2,None,17.35964548
L05,Gapdh,Myd88,g1,1,Pam,17.24642868
L06,Gapdh,Myd88,g1,1,Pam,17.20689493
L07,Gapdh,Untrans. (+puro),,1,None,27.24594405
L08,Gapdh,Untrans. (+puro),,1,None,27.07954856
L09,Gapdh,Untrans. (+puro),,2,None,26.72704182
L10,Gapdh,Untrans. (+puro),,2,None,26.78141379
L11,Gapdh,Myd88,g1,2,Pam,17.89623556
L12,Gapdh,Myd88,g1,2,Pam,17.92642931
M01,Il6,Myd88,g1,1,LPS_100,17.96597614
M02,Il6,Myd88,g1,1,LPS_100,17.98559565
M03,Il6,Myd88,g1,2,LPS_100,18.17707998
M04,Il6,Myd88,g1,2,LPS_100,18.26275212
M05,Il6,Myd88,g1,1,LPS_10,18.75914436
M06,Il6,Myd88,g1,1,LPS_10,18.79428728
M07,Il6,Myd88,g1,2,LPS_10,18.30443608
M08,Il6,Myd88,g1,2,LPS_10,18.65877962
M09,Il6,Myd88,g1,1,LPS_1,25.68024638
M10,Il6,Myd88,g1,1,LPS_1,26.24178492
M11,Il6,Myd88,g1,2,LPS_1,23.57896742
M12,Il6,Myd88,g1,2,LPS_1,24.40480265
N01,Il6,Scr,g2,1,None,29.93510453
N02,Il6,Scr,g2,1,None,29.8476576
N03,Il6,Scr,g2,2,None,30.07546048
N04,Il6,Scr,g2,2,None,29.59840538
N05,Il6,Myd88,g1,2,None,30.05332502
N06,Il6,Myd88,g1,2,None,29.45414755
N07,Il6,Untrans. (-puro),,1,None,27.65250736
N08,Il6,Untrans. (-puro),,1,None,28.08188678
N09,Il6,Untrans. (-puro),,2,None,28.99135096
N10,Il6,Untrans. (-puro),,2,None,28.73642614
N11,Il6,Ctu2,g4,1,None,32.06550211
N12,Il6,Ctu2,g4,1,None,31.3599785
O11,Il6,Ctu2,g4,2,None,30.8741607
O12,Il6,Ctu2,g4,2,None,30.60078836
O15,Ctu1_std_1,,,,,30.14869371
O16,Ctu1_std_1,,,,,29.60419114
O17,Ctu1_std_2,,,,,31.13172943
O18,Ctu1_std_2,,,,,31.08307767
